TripID,Date,From_Station,To_Station,Distance_km,Fare,Cost_per_passenger,Passengers,Ticket_Type,Remarks,Profit_per_passenger,Profit
18049,2022-02-03,Model Town,Kalkaji Mandir,3.09,60.74,63.6,25.0,Tourist Card,festival,-2.8599999999999994,-71.49999999999999
29282,2022-10-20,Noida City Centre,Mandi House,6.2,78.87,36.76,25.0,Tourist Card,maintenance,42.11000000000001,1052.7500000000002
51011,2024-10-09,Janakpuri West,Kalkaji Mandir,1.0,67.8,53.12,25.0,Smart Card,,14.68,367.0
76505,2022-11-11,Noida City Centre,Chandni Chowk,4.0,14.2,118.29,18.0,Single,festival,-104.09,-1873.6200000000001
134481,2023-12-11,Mandi House,Barakhamba Road,9.7,184.96,58.18,28.0,Tourist Card,maintenance,126.78,3549.84
100165,2023-08-10,Central Secretariat,Shivaji Park,16.02,136.13,24.24,11.0,Tourist Card,weekend,111.89,1230.79
25706,2023-08-12,Rajiv Chowk,Old Delhi,8.1,44.74,21.62,16.0,Tourist Card,,23.12,369.92
96399,2024-06-01,Janakpuri West,Shivaji Park,1.63,42.97,32.26,20.0,Tourist Card,maintenance,10.71,214.20000000000002
33117,2022-05-10,Inderlok,Punjabi Bagh,18.98,126.38,71.95,15.0,Smart Card,weekend,54.42999999999999,816.4499999999999
924,2024-05-25,Rajiv Chowk,Kirti Nagar,1.51,124.59,6.49,18.0,Tourist Card,weekend,118.10000000000001,2125.8
74297,2022-01-09,Dilshad Garden,Chandni Chowk,1.27,162.81,26.6,16.0,Tourist Card,peak,136.21,2179.36
103669,2023-10-31,Rajiv Chowk,Noida City Centre,9.82,176.13,43.22,17.0,Tourist Card,festival,132.91,2259.47
100419,2022-06-08,Hauz Khas,Pragati Maidan,0.88,135.12,21.57,15.0,Tourist Card,,113.55000000000001,1703.2500000000002
99126,2024-05-27,New Delhi,Central Secretariat,9.24,185.42,22.51,21.0,Single,peak,162.91,3421.11
39798,2024-02-19,Rajiv Chowk,Inderlok,1.02,147.91,82.67,20.0,Tourist Card,peak,65.24,1304.8
110749,2023-09-12,New Delhi,Hauz Khas,14.67,182.91,96.78,17.0,Single,,86.13,1464.21
29475,2023-06-26,Mandi House,Laxmi Nagar,0.6,76.47,106.59,16.0,Smart Card,,-30.120000000000005,-481.9200000000001
62005,2023-01-18,Rajiv Chowk,Janakpuri West,6.78,161.02,60.57,23.0,Single,off-peak,100.45000000000002,2310.3500000000004
56936,2024-07-30,Rajiv Chowk,Hauz Khas,0.99,26.95,56.5,13.0,Tourist Card,off-peak,-29.55,-384.15000000000003
24370,2023-09-27,Jasola Vihar,Shivaji Park,1.77,182.84,19.75,16.0,Tourist Card,festival,163.09,2609.44
37241,2024-09-29,New Delhi,Model Town,4.17,161.38,57.22,19.0,Tourist Card,off-peak,104.16,1979.04
49307,2023-07-31,Aiims,Shivaji Park,4.63,72.01,62.15,18.0,Single,weekend,9.860000000000007,177.48000000000013
90612,2024-01-24,Laxmi Nagar,Barakhamba Road,5.65,150.46,69.77,20.0,Smart Card,festival,80.69000000000001,1613.8000000000002
107702,2023-06-07,New Delhi,Janakpuri West,1.63,52.35,24.42,20.0,Tourist Card,,27.93,558.6
89673,2024-04-01,Rajiv Chowk,Pragati Maidan,5.71,34.65,111.5,15.0,Single,festival,-76.85,-1152.75
95329,2023-05-29,Noida City Centre,Jasola Vihar,1.06,92.35,66.23,23.0,Smart Card,,26.11999999999999,600.7599999999998
32514,2023-02-05,Kashmere Gate,Pragati Maidan,9.06,108.55,42.8,26.0,Tourist Card,maintenance,65.75,1709.5
137403,2024-09-22,Laxmi Nagar,Jasola Vihar,6.31,57.52,73.83,27.0,Smart Card,festival,-16.309999999999995,-440.3699999999999
108661,2024-05-19,Mandi House,Janakpuri West,3.5,169.1,39.27,19.0,Single,festival,129.82999999999998,2466.7699999999995
117163,2023-04-16,Rajiv Chowk,Kashmere Gate,3.01,51.86,56.08,24.0,Smart Card,festival,-4.219999999999999,-101.27999999999997
34128,2022-05-25,Mandi House,Dilshad Garden,0.89,122.14,50.9,11.0,Smart Card,festival,71.24000000000001,783.6400000000001
75599,2023-01-07,Dilshad Garden,Jasola Vihar,6.86,121.6,65.33,14.0,Single,,56.269999999999996,787.78
94661,2023-06-15,Jasola Vihar,Janakpuri West,5.72,179.63,73.29,22.0,Tourist Card,maintenance,106.33999999999999,2339.4799999999996
15667,2023-08-19,Hauz Khas,Rajiv Chowk,10.82,152.38,111.36,21.0,Single,festival,41.019999999999996,861.42
102641,2024-01-08,Rajiv Chowk,Jasola Vihar,1.4,145.89,81.22,19.0,Single,weekend,64.66999999999999,1228.7299999999998
72836,2023-01-21,Rajiv Chowk,Barakhamba Road,8.08,50.11,79.86,16.0,Tourist Card,festival,-29.75,-476.0
58111,2023-03-05,Noida City Centre,Central Secretariat,5.83,131.49,60.0,17.0,Tourist Card,festival,71.49000000000001,1215.3300000000002
41679,2022-06-30,Kashmere Gate,Barakhamba Road,11.1,190.69,101.44,24.0,Single,off-peak,89.25,2142.0
111764,2023-06-24,Laxmi Nagar,Mandi House,9.7,70.24,47.63,23.0,Tourist Card,peak,22.609999999999992,520.0299999999999
95771,2023-02-01,Noida City Centre,Rajouri Garden,0.91,17.99,19.3,13.0,Tourist Card,weekend,-1.3100000000000023,-17.03000000000003
142843,2023-12-30,Kalkaji Mandir,Janakpuri West,3.42,168.58,30.6,24.0,Single,,137.98000000000002,3311.5200000000004
82450,2024-07-18,Central Secretariat,Kirti Nagar,13.75,29.47,62.05,20.0,Tourist Card,weekend,-32.58,-651.5999999999999
113687,2024-04-04,Mandi House,Old Delhi,7.13,111.57,49.8,31.0,Single,peak,61.769999999999996,1914.87
42247,2023-09-25,Mandi House,Rajiv Chowk,0.96,167.81,93.28,13.0,Smart Card,peak,74.53,968.89
84726,2024-02-09,Noida City Centre,Pragati Maidan,3.23,157.11,107.32,26.0,Tourist Card,weekend,49.79000000000002,1294.5400000000004
27727,2022-11-03,Jasola Vihar,Rajiv Chowk,2.83,15.82,62.86,18.0,Smart Card,maintenance,-47.04,-846.72
122224,2024-11-27,Rajiv Chowk,Pragati Maidan,1.24,169.88,80.35,17.0,Tourist Card,maintenance,89.53,1522.01
40010,2022-12-05,New Delhi,Noida City Centre,0.63,131.06,104.38,14.0,Smart Card,maintenance,26.680000000000007,373.5200000000001
66017,2022-07-25,Mandi House,Netaji Subhash Place,4.15,38.87,112.43,22.0,Tourist Card,weekend,-73.56,-1618.3200000000002
50464,2024-06-07,Noida City Centre,Janakpuri West,4.31,87.49,7.81,17.0,Tourist Card,,79.67999999999999,1354.56
29065,2023-03-07,New Delhi,Netaji Subhash Place,2.16,90.06,42.49,12.0,Smart Card,weekend,47.57,570.84
34966,2024-11-09,Kalkaji Mandir,Jasola Vihar,1.26,129.01,103.45,17.0,Smart Card,off-peak,25.559999999999988,434.5199999999998
16623,2023-04-09,Model Town,Punjabi Bagh,4.8,90.49,7.86,26.0,Smart Card,maintenance,82.63,2148.38
119291,2022-12-01,Central Secretariat,Kalkaji Mandir,8.38,170.24,89.74,26.0,Tourist Card,peak,80.50000000000001,2093.0000000000005
86409,2024-12-14,Model Town,AIIMS,0.72,192.6,105.61,20.0,Single,festival,86.99,1739.8
124009,2024-12-27,Noida City Centre,Kashmere Gate,3.31,185.75,8.16,22.0,Single,,177.59,3906.98
85461,2022-10-21,Aiims,Laxmi Nagar,5.85,40.3,58.28,24.0,Tourist Card,,-17.980000000000004,-431.5200000000001
34258,2023-02-13,Janakpuri West,Rajouri Garden,3.29,43.08,90.13,21.0,Tourist Card,,-47.05,-988.05
50692,2022-01-31,Noida City Centre,Punjabi Bagh,1.1,158.45,17.02,14.0,Tourist Card,maintenance,141.42999999999998,1980.0199999999998
10673,2022-08-13,Rajiv Chowk,Chandni Chowk,5.38,199.83,6.75,28.0,Smart Card,maintenance,193.08,5406.240000000001
144167,2022-11-05,Aiims,Kirti Nagar,5.47,132.79,12.09,22.0,Single,,120.69999999999999,2655.3999999999996
7322,2023-08-06,Dilshad Garden,Kalkaji Mandir,2.03,128.58,97.65,22.0,Tourist Card,peak,30.930000000000007,680.4600000000002
15111,2024-04-18,Chandni Chowk,Janakpuri West,12.13,183.45,101.06,22.0,Tourist Card,festival,82.38999999999999,1812.5799999999997
129697,2024-09-19,Rajiv Chowk,Jasola Vihar,5.11,127.95,49.57,13.0,Tourist Card,maintenance,78.38,1018.9399999999999
83565,2022-02-09,Inderlok,Chandni Chowk,2.42,49.64,68.54,19.0,Single,festival,-18.900000000000006,-359.10000000000014
119867,2023-02-27,Rajiv Chowk,Rajiv Chowk,8.16,98.78,89.39,26.0,Tourist Card,off-peak,9.39,244.14000000000001
133770,2024-03-06,Kashmere Gate,Shivaji Park,4.01,196.0,11.6,21.0,Smart Card,,184.4,3872.4
146286,2024-11-26,Hauz Khas,Kalkaji Mandir,10.64,127.99,109.86,22.0,Single,off-peak,18.129999999999995,398.8599999999999
84222,2023-04-07,Kashmere Gate,Old Delhi,5.98,90.37,79.09,20.0,Tourist Card,festival,11.280000000000001,225.60000000000002
118,2022-07-24,Aiims,Kashmere Gate,3.46,61.14,92.04,21.0,Tourist Card,peak,-30.900000000000006,-648.9000000000001
71202,2023-01-28,Kashmere Gate,Shivaji Park,3.27,84.95,47.51,21.0,Single,weekend,37.440000000000005,786.2400000000001
84950,2022-06-06,Rajiv Chowk,Model Town,0.55,169.45,28.18,16.0,Tourist Card,peak,141.26999999999998,2260.3199999999997
52889,2024-01-31,Central Secretariat,New Delhi,26.05,14.59,66.41,22.0,Smart Card,off-peak,-51.81999999999999,-1140.04
13859,2023-07-29,Chandni Chowk,AIIMS,1.06,193.26,112.8,22.0,Tourist Card,peak,80.46,1770.12
136207,2022-06-12,Rajouri Garden,Chandni Chowk,4.04,95.71,22.34,16.0,Tourist Card,off-peak,73.36999999999999,1173.9199999999998
22935,2023-11-08,Noida City Centre,Rajouri Garden,5.4,134.64,28.36,23.0,Tourist Card,festival,106.27999999999999,2444.4399999999996
133891,2023-01-24,Noida City Centre,Punjabi Bagh,9.01,40.85,85.3,22.0,Tourist Card,off-peak,-44.449999999999996,-977.8999999999999
56198,2023-12-17,Kashmere Gate,Kirti Nagar,1.22,193.09,29.88,15.0,Single,off-peak,163.21,2448.15
130665,2022-10-11,Jasola Vihar,Chandni Chowk,11.94,124.48,75.62,16.0,Single,,48.86,781.76
87519,2022-03-27,Janakpuri West,Kirti Nagar,7.51,130.89,75.05,18.0,Smart Card,off-peak,55.83999999999999,1005.1199999999998
16603,2024-01-19,Rajiv Chowk,Dilshad Garden,9.78,84.59,86.89,12.0,Tourist Card,maintenance,-2.299999999999997,-27.599999999999966
105029,2024-09-28,Mandi House,Mandi House,7.0,150.89,79.82,22.0,Tourist Card,,71.07,1563.54
13217,2022-12-10,Rajiv Chowk,Kashmere Gate,9.08,138.15,38.38,16.0,Smart Card,peak,99.77000000000001,1596.3200000000002
38883,2024-05-14,Rajiv Chowk,Laxmi Nagar,11.04,150.69,28.81,21.0,Smart Card,peak,121.88,2559.48
73884,2022-10-15,Rajiv Chowk,Kirti Nagar,8.22,44.63,96.72,16.0,Single,festival,-52.089999999999996,-833.4399999999999
17654,2024-07-03,Rajiv Chowk,Noida City Centre,0.65,168.45,99.67,20.0,Tourist Card,peak,68.77999999999999,1375.5999999999997
142822,2023-11-18,Rajiv Chowk,Kalkaji Mandir,4.18,135.7,6.28,20.0,Tourist Card,weekend,129.42,2588.3999999999996
84865,2024-01-20,Rajouri Garden,Dilshad Garden,1.76,158.65,100.31,14.0,Tourist Card,weekend,58.34,816.76
117264,2023-11-23,Kalkaji Mandir,Old Delhi,8.12,148.49,90.07,20.0,Single,peak,58.420000000000016,1168.4000000000003
34411,2023-11-18,Kashmere Gate,Rajiv Chowk,1.67,190.07,100.65,13.0,Tourist Card,,89.41999999999999,1162.4599999999998
117837,2024-07-19,Kalkaji Mandir,Janakpuri West,6.65,20.69,111.66,18.0,Smart Card,maintenance,-90.97,-1637.46
7417,2022-11-30,Laxmi Nagar,Kashmere Gate,10.69,53.44,22.08,18.0,Tourist Card,,31.36,564.48
17710,2022-04-21,Mandi House,Mandi House,9.16,175.99,48.65,8.0,Single,off-peak,127.34,1018.72
136253,2022-04-13,Rajiv Chowk,Inderlok,4.01,27.29,45.06,18.0,Smart Card,weekend,-17.770000000000003,-319.86000000000007
26211,2024-05-12,Mandi House,Noida City Centre,12.21,55.87,68.75,16.0,Tourist Card,,-12.880000000000003,-206.08000000000004
39345,2022-03-25,New Delhi,Old Delhi,3.21,113.92,107.0,19.0,Tourist Card,off-peak,6.920000000000002,131.48000000000002
116700,2023-04-29,New Delhi,Kirti Nagar,3.81,35.54,13.54,20.0,Tourist Card,weekend,22.0,440.0
95048,2023-09-18,Noida City Centre,Rajouri Garden,3.47,48.37,77.96,15.0,Single,peak,-29.589999999999996,-443.84999999999997
111110,2024-05-28,Rajiv Chowk,Netaji Subhash Place,1.74,24.46,7.08,26.0,Single,off-peak,17.380000000000003,451.88000000000005
51157,2024-03-07,Inderlok,Jasola Vihar,10.0,168.33,98.68,32.0,Tourist Card,peak,69.65,2228.8
129331,2023-05-30,Chandni Chowk,Kashmere Gate,1.94,50.15,27.09,21.0,Tourist Card,,23.06,484.26
67234,2022-05-16,Noida City Centre,Dilshad Garden,2.61,21.52,29.14,34.0,Tourist Card,weekend,-7.620000000000001,-259.08000000000004
115062,2023-01-11,Noida City Centre,Rajouri Garden,2.49,160.42,29.97,18.0,Tourist Card,off-peak,130.45,2348.1
17170,2022-10-24,Rajiv Chowk,Hauz Khas,1.05,137.78,118.61,26.0,Smart Card,,19.17,498.4200000000001
125745,2024-02-08,Noida City Centre,Shivaji Park,1.07,27.16,75.13,25.0,Tourist Card,,-47.97,-1199.25
46673,2022-01-20,Noida City Centre,Shivaji Park,6.86,88.46,43.89,22.0,Tourist Card,,44.56999999999999,980.5399999999998
149918,2022-07-14,Inderlok,Old Delhi,6.23,88.8,82.85,18.0,Tourist Card,off-peak,5.950000000000003,107.10000000000005
102439,2024-05-27,Mandi House,Kalkaji Mandir,3.73,163.86,82.39,27.0,Tourist Card,festival,81.47000000000001,2199.6900000000005
4891,2022-12-13,Aiims,Old Delhi,3.64,49.79,59.36,24.0,Tourist Card,maintenance,-9.57,-229.68
146811,2023-01-30,Dilshad Garden,New Delhi,1.07,153.46,69.44,20.0,Single,,84.02000000000001,1680.4
10141,2022-02-04,Laxmi Nagar,Dilshad Garden,2.7,59.42,89.7,22.0,Smart Card,,-30.28,-666.1600000000001
111238,2024-04-09,Noida City Centre,Jasola Vihar,3.97,187.59,49.74,14.0,Tourist Card,festival,137.85,1929.8999999999999
117339,2024-09-24,Jasola Vihar,Janakpuri West,1.53,54.81,83.85,15.0,Single,maintenance,-29.039999999999992,-435.5999999999999
88469,2024-11-27,Hauz Khas,Chandni Chowk,5.52,108.79,22.51,16.0,Single,maintenance,86.28,1380.48
116628,2024-06-12,Janakpuri West,Barakhamba Road,5.89,163.85,33.32,21.0,Tourist Card,festival,130.53,2741.13
113106,2023-09-11,Noida City Centre,Rajiv Chowk,9.09,183.39,109.81,12.0,Tourist Card,weekend,73.57999999999998,882.9599999999998
57839,2022-08-24,Rajiv Chowk,Old Delhi,8.44,130.53,107.3,15.0,Single,,23.230000000000004,348.45000000000005
42458,2023-04-14,Noida City Centre,Janakpuri West,1.55,142.31,20.99,19.0,Smart Card,maintenance,121.32000000000001,2305.08
57005,2024-11-04,Dilshad Garden,Jasola Vihar,4.53,198.09,28.94,16.0,Single,peak,169.15,2706.4
27965,2023-05-31,Model Town,Rajiv Chowk,3.21,104.8,74.85,33.0,Single,maintenance,29.950000000000003,988.3500000000001
141962,2023-01-15,Rajouri Garden,Kirti Nagar,3.03,104.92,51.99,22.0,Smart Card,maintenance,52.93,1164.46
29910,2022-09-08,Inderlok,Hauz Khas,6.14,158.34,48.04,21.0,Tourist Card,maintenance,110.30000000000001,2316.3
125078,2023-02-26,Noida City Centre,Mandi House,4.11,120.18,101.74,27.0,Tourist Card,,18.440000000000012,497.88000000000034
51213,2024-10-20,Dilshad Garden,New Delhi,1.95,129.57,28.72,20.0,Tourist Card,off-peak,100.85,2017.0
109729,2024-08-16,Central Secretariat,Rajouri Garden,3.75,196.18,55.38,23.0,Tourist Card,festival,140.8,3238.4
63781,2023-05-24,Mandi House,Chandni Chowk,1.75,29.18,98.17,35.0,Smart Card,maintenance,-68.99000000000001,-2414.6500000000005
8342,2023-08-31,Noida City Centre,Chandni Chowk,0.7,172.88,101.13,21.0,Single,peak,71.75,1506.75
134181,2023-02-10,Dilshad Garden,Mandi House,6.14,130.87,117.2,19.0,Smart Card,maintenance,13.670000000000002,259.73
140419,2024-08-04,Mandi House,Kalkaji Mandir,1.58,145.99,83.36,18.0,Tourist Card,weekend,62.63000000000001,1127.3400000000001
95547,2024-06-13,Inderlok,AIIMS,6.83,134.82,82.44,13.0,Tourist Card,off-peak,52.379999999999995,680.9399999999999
119333,2022-07-16,Mandi House,Pragati Maidan,2.91,140.06,115.4,23.0,Smart Card,peak,24.659999999999997,567.18
18608,2022-07-07,Mandi House,Mandi House,1.72,109.35,104.19,22.0,Tourist Card,off-peak,5.159999999999997,113.51999999999992
148774,2024-02-26,Hauz Khas,Kashmere Gate,8.42,40.76,111.74,23.0,Tourist Card,peak,-70.97999999999999,-1632.5399999999997
31588,2024-08-06,Central Secretariat,Janakpuri West,1.95,11.31,68.85,13.0,Tourist Card,off-peak,-57.53999999999999,-748.0199999999999
49188,2023-04-21,Aiims,Old Delhi,9.54,63.1,85.24,17.0,Tourist Card,peak,-22.139999999999993,-376.3799999999999
24258,2022-04-03,Mandi House,Rajiv Chowk,2.31,197.57,17.36,31.0,Single,festival,180.20999999999998,5586.509999999999
82973,2023-10-24,Jasola Vihar,Laxmi Nagar,3.0,136.88,52.3,11.0,Single,festival,84.58,930.38
140114,2024-01-19,Model Town,Mandi House,6.73,131.8,28.14,27.0,Tourist Card,peak,103.66000000000001,2798.82
41592,2022-10-18,Mandi House,Noida City Centre,9.87,46.64,72.97,19.0,Tourist Card,weekend,-26.33,-500.27
25246,2022-09-23,Central Secretariat,Noida City Centre,1.84,154.91,87.39,27.0,Tourist Card,,67.52,1823.04
8396,2024-02-10,Rajouri Garden,New Delhi,0.82,116.0,35.6,20.0,Tourist Card,off-peak,80.4,1608.0
29319,2022-01-23,New Delhi,AIIMS,16.21,130.25,59.1,21.0,Tourist Card,,71.15,1494.15
7704,2023-01-25,Rajiv Chowk,Noida City Centre,1.57,44.91,49.02,20.0,Smart Card,,-4.1100000000000065,-82.20000000000013
69358,2024-03-18,Chandni Chowk,Old Delhi,1.19,176.93,92.41,17.0,Tourist Card,peak,84.52000000000001,1436.8400000000001
19079,2022-04-19,Model Town,Barakhamba Road,2.65,185.74,108.86,12.0,Tourist Card,festival,76.88000000000001,922.5600000000002
55709,2023-10-30,Kashmere Gate,Noida City Centre,5.53,65.96,49.46,18.0,Tourist Card,,16.499999999999993,296.9999999999999
147422,2023-05-17,Inderlok,Jasola Vihar,8.0,113.12,93.73,25.0,Tourist Card,maintenance,19.39,484.75
104159,2022-04-10,Inderlok,Old Delhi,1.01,168.06,36.3,19.0,Tourist Card,maintenance,131.76,2503.4399999999996
108569,2023-01-31,Inderlok,Chandni Chowk,3.89,188.44,76.68,13.0,Single,weekend,111.75999999999999,1452.8799999999999
8960,2024-07-23,Mandi House,Shivaji Park,3.67,199.77,110.02,11.0,Tourist Card,festival,89.75000000000001,987.2500000000001
73454,2023-08-05,New Delhi,Pragati Maidan,1.75,14.71,6.05,27.0,Tourist Card,off-peak,8.66,233.82
126236,2024-11-04,New Delhi,Punjabi Bagh,3.99,77.26,46.13,24.0,Smart Card,maintenance,31.130000000000003,747.1200000000001
36738,2022-12-10,New Delhi,Rajiv Chowk,2.32,143.86,62.86,26.0,Tourist Card,,81.00000000000001,2106.0000000000005
19708,2023-05-24,Noida City Centre,Rajouri Garden,2.55,139.78,68.43,25.0,Tourist Card,off-peak,71.35,1783.7499999999998
89106,2024-08-07,Rajiv Chowk,Mandi House,6.73,77.8,119.23,23.0,Tourist Card,maintenance,-41.43000000000001,-952.8900000000001
67266,2024-11-27,Kashmere Gate,Central Secretariat,8.3,22.0,31.74,15.0,Single,festival,-9.739999999999998,-146.09999999999997
24644,2023-10-14,Laxmi Nagar,Old Delhi,6.7,113.67,13.38,20.0,Tourist Card,weekend,100.29,2005.8000000000002
20183,2024-09-25,Hauz Khas,Chandni Chowk,2.24,187.22,77.76,23.0,Smart Card,peak,109.46,2517.58
127042,2023-05-06,Noida City Centre,New Delhi,1.02,176.7,81.95,18.0,Tourist Card,off-peak,94.74999999999999,1705.4999999999998
69080,2024-02-14,Kashmere Gate,Janakpuri West,1.57,88.17,54.33,12.0,Tourist Card,weekend,33.84,406.08000000000004
31814,2022-07-26,Kalkaji Mandir,Shivaji Park,6.21,67.18,42.22,16.0,Tourist Card,festival,24.960000000000008,399.3600000000001
30991,2022-08-03,Rajouri Garden,Punjabi Bagh,1.66,181.81,18.7,27.0,Tourist Card,maintenance,163.11,4403.97
143577,2022-02-18,Chandni Chowk,Kalkaji Mandir,1.66,157.5,38.6,25.0,Smart Card,festival,118.9,2972.5
133635,2023-05-01,Kalkaji Mandir,Model Town,8.97,193.41,119.55,29.0,Smart Card,off-peak,73.86,2141.94
261,2023-11-05,Chandni Chowk,Dilshad Garden,1.92,60.77,18.57,22.0,Single,peak,42.2,928.4000000000001
61986,2022-05-14,Jasola Vihar,Kashmere Gate,22.54,133.67,64.49,14.0,Tourist Card,peak,69.17999999999999,968.5199999999999
54330,2022-10-04,Rajiv Chowk,Noida City Centre,4.18,50.85,81.8,21.0,Tourist Card,off-peak,-30.949999999999996,-649.9499999999999
136099,2023-12-18,Aiims,Netaji Subhash Place,1.89,42.41,11.93,15.0,Single,,30.479999999999997,457.19999999999993
58031,2023-08-06,Dilshad Garden,New Delhi,2.77,96.33,8.12,17.0,Smart Card,festival,88.21,1499.57
116582,2024-10-01,Rajiv Chowk,Noida City Centre,1.56,33.08,35.8,18.0,Smart Card,peak,-2.719999999999999,-48.95999999999998
65758,2024-12-18,Rajiv Chowk,Rajiv Chowk,4.79,130.59,8.56,18.0,Single,peak,122.03,2196.54
83358,2022-11-23,Noida City Centre,Hauz Khas,1.33,78.02,44.46,23.0,Tourist Card,weekend,33.559999999999995,771.8799999999999
18540,2024-03-11,Mandi House,Rajouri Garden,4.09,51.07,111.28,19.0,Smart Card,,-60.21,-1143.99
39224,2023-07-31,Rajiv Chowk,Shivaji Park,7.51,83.51,46.56,21.0,Single,,36.95,775.95
62550,2022-01-27,Chandni Chowk,Shivaji Park,4.24,141.52,47.02,16.0,Smart Card,maintenance,94.5,1512.0
149344,2023-07-22,Hauz Khas,Noida City Centre,30.92,179.64,14.46,14.0,Tourist Card,peak,165.17999999999998,2312.5199999999995
51818,2022-05-27,Rajiv Chowk,Kalkaji Mandir,2.56,188.27,58.73,16.0,Smart Card,maintenance,129.54000000000002,2072.6400000000003
115987,2023-03-26,Hauz Khas,Punjabi Bagh,6.46,184.2,59.13,26.0,Single,festival,125.07,3251.8199999999997
41259,2024-01-02,Noida City Centre,Old Delhi,2.34,27.29,6.2,21.0,Tourist Card,peak,21.09,442.89
110040,2024-12-13,Jasola Vihar,Rajiv Chowk,3.21,179.93,24.82,15.0,Tourist Card,weekend,155.11,2326.65
115290,2023-05-13,Rajiv Chowk,Dilshad Garden,3.37,39.23,119.46,21.0,Single,maintenance,-80.22999999999999,-1684.8299999999997
120499,2023-10-30,Laxmi Nagar,Pragati Maidan,3.73,132.18,55.27,31.0,Single,,76.91,2384.21
99639,2024-05-24,Mandi House,Janakpuri West,1.28,69.96,92.06,21.0,Single,festival,-22.10000000000001,-464.1000000000002
5955,2022-02-19,Mandi House,Shivaji Park,3.97,161.95,33.54,20.0,Tourist Card,festival,128.41,2568.2
148288,2023-12-12,Kalkaji Mandir,Kirti Nagar,0.6,133.71,64.38,18.0,Tourist Card,off-peak,69.33000000000001,1247.9400000000003
10396,2024-03-27,Aiims,Dilshad Garden,5.82,159.58,79.9,20.0,Smart Card,off-peak,79.68,1593.6000000000001
107132,2022-06-19,Dilshad Garden,Inderlok,10.4,81.16,111.58,22.0,Smart Card,,-30.42,-669.24
99483,2022-05-23,Noida City Centre,Hauz Khas,0.69,55.91,73.62,26.0,Tourist Card,maintenance,-17.710000000000008,-460.4600000000002
131103,2024-09-09,Kashmere Gate,Kalkaji Mandir,5.1,170.34,85.25,26.0,Tourist Card,,85.09,2212.34
42167,2023-12-11,Rajiv Chowk,Punjabi Bagh,10.63,161.55,62.45,15.0,Tourist Card,weekend,99.10000000000001,1486.5000000000002
104940,2022-02-12,Rajiv Chowk,Old Delhi,1.11,53.71,19.29,19.0,Tourist Card,festival,34.42,653.98
